post,comment
12,1
64,1
87,1
99,1
102,1
103,1
105,1
110,1
113,1
148,1
160,1
232,1
309,1
434,1
438,1
460,1
510,1
523,1
569,1
570,1
571,1
592,1
608,1
640,1
641,1
645,1
664,1
665,1
707,1
715,1
739,1
763,1
800,1
801,1
802,1
805,1
807,1
825,1
840,1
842,1
843,1
847,1
863,1
865,1
868,1
896,1
936,1
937,1
939,1
949,1
950,1
1507,1
1511,1
1544,1
1549,1
2233,1
2275,1
2515,1
2516,1
2517,1
2518,1
2519,1
2520,1
2523,1
2524,2
2525,1
2526,1
2527,1
2528,1
2529,1
2530,1
2681,1
2682,1
2683,1
2684,1
2686,1
2687,1
2688,1
2690,1
2692,1
2693,1
2694,1
2696,1
2697,1
2698,1
2699,1
2700,1
2704,1
2705,1
2706,3
2707,1
2709,1
2710,1
2711,1
2712,1
2713,1
2714,1
2715,1
2717,1
2718,1
2719,1
2720,1
2723,1
2725,1
2768,1
2770,1
2776,1
2777,1
2778,1
2779,1
2780,1
2781,1
2783,1
2788,1
2790,1
2793,1
2794,1
2797,1
2798,1
3056,1
3063,1
3064,1
3083,1
3086,1
3087,1
3088,1
3092,1
3095,1
3107,1
3109,1
3110,1
3113,1
3117,1
3128,1
3129,1
3130,1
3131,1
3144,1
3147,1
3159,1
3168,1
3181,1
3186,1
3188,1
3210,1
3211,1
3217,1
3220,1
3221,1
3222,1
3320,1
3322,1
3324,1
3326,3
3327,2
3339,1
3348,1
3352,1
3353,1
3355,1
3370,1
3372,1
3378,1
3383,1
3398,1
3401,1
3402,1
3404,1
3406,1
3414,1
3422,1
3430,1
3431,1
3609,1
3660,1
3661,1
3667,1
3732,2
3749,1
3794,1
3822,1
3824,1
3827,1
3836,1
3850,1
3851,1
3868,1
3903,1
3909,1
3911,1
3912,1
3917,1
3923,1
3930,1
4075,1
4077,1
4085,1
4093,1
4098,1
4107,2
4126,1
4136,1
4147,1
4163,1
4168,1
4169,1
4171,1
4174,1
4188,1
4189,1
4190,1
4191,1
4196,1
4202,1
4209,1
4211,1
4213,1
4218,1
4219,1
4220,1
4221,1
4228,1
4234,1
4235,1
4240,1
4242,1
4243,1
4246,1
4259,1
4428,1
4446,1
4462,1
4686,1
4740,1
4743,1
4786,1
4809,1
4818,1
4825,1
4842,1
4855,5
4857,1
4862,1
4865,10
4867,1
4900,1
4902,1
4911,1
4922,1
4926,1
4960,1
4963,2
4965,1
4969,1
4972,1
4978,1
4997,1
4999,1
5002,1
5004,4
5005,1
5006,1
5011,1
5014,2
5023,1
5031,1
5033,2
5035,1
5054,1
5067,1
5073,1
5101,1
5114,1
5147,1
5194,2
5201,1
5206,1
5212,1
5213,1
5216,1
